verse,reference,emotional_tags,situational_tags,example_user_phrasings,verse_es
"Let the peace that the Christ gives decide all doubts within your hearts; for you also were called to the enjoyment of peace as members of one body. And show yourselves thankful.","Colossians 3:15","[""peace"", ""uncertainty""]","[""discernment""]","[""I can't decide what to do and it's stressing me out."", ""I need peace of mind about this situation."", ""I keep going back and forth in my head.""]","Y que la paz de Dios gobierne en sus corazones, a la que también fueron llamados en un solo cuerpo; y sean agradecidos."
"Be firm and brave, never be daunted or dismayed, for the Lord your God is with you wherever you go.","Joshua 1:9","[""fear"", ""courage""]","[""career_uncertainty"", ""moving_or_relocation""]","[""I'm scared about this new chapter of my life."", ""I need courage to take the next step."", ""I don't feel ready for what's ahead.""]","¿No te lo he ordenado yo? Esfuérzate y sé valiente; no temas ni te acobardes, porque Yahvé, tu Dios, estará contigo adondequiera que vayas."
"May God, who inspires our hope, grant you perfect happiness and peace in your faith, until you are filled with this hope by the power of the Holy Spirit.","Romans 15:13","[""joy"", ""hope"", ""peace""]","[]","[""I'm trying to hold onto hope in a hard season."", ""I want to feel joyful again."", ""I need peace as I keep believing.""]","Que el Dios de la esperanza los llene de toda alegría y paz en la fe, para que abunden en la esperanza con la fuerza del Espíritu Santo."
"He gives the childless woman a home, and makes her the happy mother of children.","Psalm 113:9","[""hope"", ""joy"", ""gratitude""]","[""miscarriage_or_infertility""]","[""I've been struggling to have a child and I don't know if it will ever happen."", ""I feel like something is missing without children."", ""I'm holding onto hope that I'll become a parent someday.""]","Él le da un hogar a la mujer estéril, y la hace una madre feliz con sus hijos. ¡Alabado sea Yah!"
"Children are a gift of the Lord, the fruit of the womb, a reward.","Psalm 127:3","[""joy"", ""gratitude""]","[""new_parenthood""]","[""I just had a baby and I'm overwhelmed with gratitude."", ""I want to remember how precious this new life is."", ""I'm so thankful for my child.""]","Miren, los hijos son una herencia de Yahvé, el fruto del vientre es una verdadera recompensa."
"Father of orphans, defender of widows, is God in his holy abode. God brings home the lonely, he leads forth the prisoner to comfort, so that none but the rebel lives cheerless.","Psalm 68:5-6","[""loneliness"", ""hope""]","[""singleness"", ""social_isolation"", ""incarceration""]","[""I feel so alone, like nobody is looking out for me."", ""I wish I had a family or community to belong to."", ""I have a loved one in prison and I don't know how to cope.""]","Padre de los huérfanos y defensor de las viudas, es Dios en su santa morada. Dios da una familia a los solitarios. Saca a los prisioneros a la libertad con cantos, pero los rebeldes se quedan a vivir en un desierto abrazador."
"Then the Lord God said, “It is not good for the human to be alone; I will make a helper suited to him.” ... For this reason a man leaves his father and his mother and clings to his wife, and the two become one flesh.","Genesis 2:18, 24","[""love"", ""contentment""]","[""engagement_or_marriage""]","[""I'm getting married soon and want God's blessing on our union."", ""I'm nervous about starting this new chapter with my spouse."", ""I want our marriage to be built on something lasting.""]","Luego Yahvé Dios dijo: “No es bueno que el hombre esté solo. Voy a hacerle una ayuda adecuada”. Por eso el hombre deja a su padre y a su madre, y se une a su mujer, y los dos se funden en un solo ser."
"The righteous will sprout like the palm, will grow like a cedar of Lebanon. In the house of the Lord are they planted, in the courts of our God they will sprout. They will still bear fruit in old age, all sappy and fresh will they be.","Psalm 92:12-14","[""hope"", ""contentment""]","[""retirement"", ""aging""]","[""I'm retiring soon and wondering what's next for me."", ""I feel like I still have purpose even as I get older."", ""I'm afraid getting older means I have less to offer.""]","El justo florecerá como la palmera; crecerá fuerte como un cedro del Líbano. Están plantados en la casa de Yahvé; florecerán en los atrios de nuestro Dios. Incluso en su vejez seguirán dando frutos; estarán llenos de vitalidad y siempre verdes,"
"I will not leave you bereaved; I will come to you.","John 14:18","[""loneliness"", ""grief"", ""hope""]","[""bereavement""]","[""I feel so alone since losing someone I love."", ""I'm scared of feeling abandoned."", ""I need to know I'm not alone in this.""]","No los dejaré huérfanos. Vendré a ustedes."
"Of this I am confident, that he who began a good work in you will complete it in readiness for the day of Jesus Christ.","Philippians 1:6","[""hope"", ""faith""]","[""graduation""]","[""I'm finishing this chapter of my life and wondering what's next."", ""I hope all this hard work has been worth it."", ""I'm nervous about starting something new after this milestone.""]","Estoy convencido de esto: el que comenzó tan buena obra en ustedes la irá perfeccionando hasta el día de Cristo Jesús."
"Look at the wild birds – they neither sow, nor reap, nor gather into barns; and yet your heavenly Father feeds them! Aren’t you more precious than they?","Matthew 6:26","[""anxiety""]","[""financial_hardship"", ""job_searching""]","[""I'm worried about how I'll make ends meet."", ""I don't know how I'm going to pay for everything I need."", ""I'm anxious about providing for my family.""]","Fíjense en las aves del cielo: no siembran, ni cosechan, ni guardan en graneros, y sin embargo, su Padre celestial las alimenta. ¿Acaso no valen ustedes mucho más que ellas?"
"Cast me not off in the time of old age; when my strength is spent, forsake me not.","Psalm 71:9","[""fear"", ""loneliness""]","[""aging""]","[""I'm afraid of being forgotten as I get older."", ""I worry no one will be there for me when I'm old."", ""I feel like I'm losing my strength and independence.""]","No me rechaces ahora que soy viejo. No me abandones cuando me fallen las fuerzas."
"You should all be united, sympathetic, full of love for each other, kind-hearted, humble-minded; never returning evil for evil, or abuse for abuse, but, on the contrary, blessing. It was to this that you were called – to obtain a blessing!","1 Peter 3:8-9","[""bitterness"", ""anger""]","[""marital_conflict""]","[""My spouse and I keep hurting each other."", ""I don't know how to stop fighting with the people I love."", ""I want to respond with love instead of anger in my marriage.""]","En fin, vivan todos en armonía, unidos en un mismo sentir y amándose como hermanos. Sean compasivos y humildes. No devuelvan mal por mal, ni insulto por insulto; al contrario, bendigan, porque a esto fueron llamados, para que hereden una bendición."
"My God, out of the greatness of his wealth, will, in glory, fully satisfy your every need, through your union with Christ Jesus.","Philippians 4:19","[""anxiety"", ""hope""]","[""financial_hardship"", ""job_searching""]","[""I'm struggling to pay my bills."", ""I don't know how we'll make it through this financial hardship."", ""I'm anxious about finding a new job.""]","Y mi Dios proveerá a todas sus necesidades, conforme a sus gloriosas riquezas en Cristo Jesús."
"Be content with what you have, for God himself has said – ‘I will never forsake you, nor will I ever abandon you.’ Therefore we may say with confidence – ‘The Lord is my helper, I will not be afraid. What can mere people do to me?’","Hebrews 13:5-6","[""fear"", ""anxiety""]","[""financial_hardship"", ""moving_or_relocation""]","[""I'm scared about money."", ""I don't know how I'll get through this alone."", ""I need to trust that I won't be abandoned.""]","Sean sus costumbres sin amor al dinero, contentos con lo que tienen ahora; porque él dijo: “No te desampararé, ni te abandonaré”; de manera que podemos decir con confianza: “El Señor es mi ayudador; no temeré Lo que me pueda hacer el hombre”."
"“Repent,” answered Peter, “and be baptized every one of you in the name of Jesus Christ for the forgiveness of your sins; and then you will receive the gift of the Holy Spirit. For the promise is for you and for your children, and also for all those now far away, who may be called by the Lord our God.”","Acts 2:38-39","[""hope"", ""faith""]","[""new_to_faith""]","[""I'm just starting to explore what it means to have faith."", ""I want to begin a relationship with God but don't know where to start."", ""I'm considering getting baptized.""]","Pedro les contestó: “Arrepiéntanse y bautícense cada uno de ustedes en el nombre de Jesucristo para el perdón de sus pecados, y recibirán el don del Espíritu Santo. Porque la promesa es para ustedes, para sus hijos y para todos los que están lejos; para todos aquellos a quienes el Señor nuestro Dios llame.”"
"See, I am with you, and will keep you wherever you go and will bring you again to this land; for I will not leave you until I have done what I have promised you.","Genesis 28:15","[""fear"", ""hope""]","[""moving_or_relocation""]","[""I'm moving somewhere new and scared about starting over."", ""I don't know anyone in this new place."", ""I'm anxious about leaving everything familiar behind.""]","Yo estoy contigo; te protegeré por dondequiera que vayas y te traeré de vuelta a esta tierra. No te abandonaré hasta cumplir con todo lo que te he prometido."
"Blessed is the God and Father of Jesus Christ our Lord, the all-merciful Father, the God ever ready to console, who consoles us in all our troubles, so that we may be able to console those who are in any trouble with the consolation that we ourselves receive from him.","2 Corinthians 1:3-4","[""exhaustion"", ""despair"", ""hope""]","[""mental_health_struggle""]","[""I've been struggling with my mental health for a long time."", ""I feel like I need comfort that lasts, not just quick fixes."", ""I'm tired of carrying this weight day after day.""]","Bendito sea el Dios y Padre de nuestro Señor Jesucristo, Padre misericordioso y Dios de todo consuelo, quien nos consuela en todas nuestras tribulaciones para que, con el mismo consuelo que de Dios hemos recibido, también nosotros podamos consolar a todos los que sufren."
"You have turned my mourning to dancing; my sackcloth you have unloosed, and clothed me with joy: that unceasingly I should sing your praise, and give thanks to you, Lord my God, forever.","Psalm 30:11-12","[""grief"", ""joy"", ""gratitude""]","[""bereavement""]","[""I've been in mourning for so long, I don't know if joy will ever return."", ""I want to trust that this sadness won't last forever."", ""I long to feel joy again after all this loss.""]","Tú cambiaste mi luto en danza; me quitaste la ropa de luto y me vestiste de alegría, para que mi corazón te cante alabanzas y no se quede callado. ¡Yahvé, mi Dios, te daré gracias por siempre!"
"Firm is the faith I cherish, that I, in the land of the living, will yet see the goodness of God. Let your heart be courageous and strong, and wait on the Lord.","Psalm 27:13-14","[""hope"", ""courage"", ""faith""]","[]","[""I need courage to keep waiting for things to get better."", ""I'm trying to trust I'll see good come from this."", ""I feel discouraged and need strength to hold on.""]","Pero yo estoy seguro de esto: que veré la bondad de Yahvé en la tierra de los vivientes. Espera en Yahvé. Sé fuerte, y que tu corazón se llene de valor. Sí, espera en Yahvé."
"Bear one another’s burdens, and so carry out the Law of the Christ.","Galatians 6:2","[""overwhelm"", ""exhaustion""]","[""caregiving""]","[""I feel like I'm carrying this alone."", ""I'm exhausted from taking care of everything by myself."", ""I wish someone would help share this burden.""]","Ayúdense mutuamente a llevar sus cargas, y así cumplirán la ley de Cristo."
"Jesus, however, said, “Let the little children come to me, and do not hinder them, for it is to the childlike that the kingdom of heaven belongs.” So he placed his hands on them, and then went on his way.","Matthew 19:14-15","[""love"", ""worry_for_others""]","[""parenting_struggles"", ""new_parenthood""]","[""I worry I'm not doing right by my kids."", ""I want my children to know they're loved and valued."", ""I feel overwhelmed trying to raise my children well.""]","Jesús les dijo: “Dejen a los niños y no les impidan que se acerquen a mí, porque el Reino de los Cielos es de los que son como ellos”. Después de poner las manos sobre ellos, se fue de allí."
"Since it is by God’s mercy that we are engaged in this ministry, we do not lose heart. Even though outwardly we are wasting away, yet inwardly we are being renewed day by day. The light burden of our momentary trouble is preparing for us a weight of imperishable glory, beyond all measure. We, all the while, gaze not on what is seen, but on what is unseen. For what is seen is transient, but what is unseen is imperishable.","2 Corinthians 4:16-18","[""exhaustion"", ""hope"", ""discouragement""]","[""terminal_illness"", ""chronic_pain_or_illness""]","[""My body is failing but I'm trying to hold onto hope."", ""I'm exhausted from this long illness."", ""I need to believe there's more beyond this suffering.""]","Por lo tanto, no nos desanimamos. Aunque nuestro cuerpo físico se va desgastando, nuestro ser interior se renueva día a día. Pues nuestros pequeños y pasajeros sufrimientos producen en nosotros una gloria eterna que pesa muchísimo más que todos ellos. Así que no nos fijamos en lo visible, sino en lo invisible, ya que lo que se ve es pasajero, mientras que lo que no se ve es eterno."
"No temptation has come upon you that is not common to all humanity. God will not fail you, and he will not allow you to be tempted beyond your strength; but, when he sends the temptation, he will also provide the way of escape, so that you may have strength to endure.","1 Corinthians 10:13","[""helplessness"", ""hope""]","[""addiction_recovery""]","[""I keep falling back into the same struggle."", ""I don't know if I have the strength to resist this temptation."", ""I need to believe there's a way out of this cycle.""]","Ninguna tentación les ha sobrevenido sino la que es común al hombre. Fiel es Dios, que no permitirá que sean tentados por encima de sus posibilidades, sino que junto con la tentación les dará la vía de escape, para que puedan soportarla."
"“Master,” they cried, “save us; we are lost!” “Why are you so timid?” he said. “You of little faith!” Then Jesus rose and rebuked the winds and the sea, and a great calm followed.","Matthew 8:25-26","[""fear"", ""dread""]","[""natural_disaster"", ""accident_or_injury""]","[""I feel like I'm in the middle of a storm I can't control."", ""Everything feels like it's falling apart around me."", ""I'm terrified and don't know if things will be okay.""]","Los discípulos se acercaron, lo despertaron y le gritaron: “¡Señor, sálvanos, que nos estamos hundiendo!”. Él les contestó: “¿Por qué tienen tanto miedo, hombres de poca fe?”. Entonces se levantó y reprendió a los vientos y a las olas, y todo quedó completamente tranquilo."
"“Blessed are you when people insult you, and persecute you, and say all kinds of evil lies about you because of me. Be glad and rejoice, because your reward in heaven will be great; this is the way they persecuted the prophets who lived before you.”","Matthew 5:11-12","[""discouragement"", ""sadness""]","[""persecution_or_discrimination"", ""bullying_or_harassment""]","[""People are treating me unfairly because of my faith."", ""I feel targeted for what I believe."", ""I don't understand why people are so cruel to me.""]","Benditos son ustedes cuando los insulten, los persigan y digan toda clase de mal contra ustedes falsamente, por mi causa. Alégrense y regocíjense, porque su recompensa es grande en el cielo. Porque así persiguieron a los profetas que vivieron antes que ustedes."
"You will show me the path that leads to life, to that fulness of joy which is in your presence, and the pleasures dispensed by your hand evermore.","Psalm 16:11","[""joy"", ""delight"", ""contentment""]","[]","[""I want to feel that closeness with God again."", ""I'm searching for real joy in my life."", ""I long for lasting happiness, not just fleeting moments.""]","Me mostrarás el camino de la vida. En tu presencia hay alegría total. En tu mano derecha hay placeres para siempre."
"O my soul, bless the Lord; and forget not one of his benefits. He pardons all your sins, he heals all your diseases. He ransoms your life from the pit, he crowns you with kindness and pity. He gives you your heart’s desire, renewing your youth like the eagle’s.","Psalm 103:2-5","[""guilt"", ""gratitude"", ""hope""]","[""personal_illness"", ""chronic_pain_or_illness""]","[""I feel weighed down by my past mistakes."", ""I'm dealing with an illness and need hope for healing."", ""I want to feel renewed instead of stuck in shame.""]","Alaba a Yahvé, alma mía, y no olvides ninguno de sus beneficios. Él perdona todos tus pecados, y sana todas tus enfermedades; él rescata tu vida de la tumba, y te corona de amor y compasión; él satisface tus deseos con cosas buenas, para que te renueves como el águila."
"I sought the Lord, and, in answer, he saved me from all my terrors.","Psalm 34:4","[""fear"", ""relief""]","[]","[""I've been living in constant fear."", ""I need relief from all this anxiety."", ""I'm scared and don't know where else to turn.""]","Busqué a Yahvé, y él me respondió; me libró de todos mis temores."
"There is no fear in love; perfect love drives out fear because fear has to do with punishment. So anyone who is afraid has not reached perfection in love.","1 John 4:18","[""fear"", ""insecurity""]","[]","[""I'm afraid I'm not good enough to be loved."", ""Fear keeps holding me back from trusting others."", ""I want to feel secure instead of anxious about being judged.""]","En el amor no hay temor, sino que el amor perfecto echa fuera el temor, porque el temor tiene castigo. El que teme no se ha perfeccionado en el amor."
"I lift up my eyes to the mountains. From where will help for me come? My help will come from the Lord, the creator of heaven and earth. Your foot he will not let stumble: he who guards you will not sleep. The Lord will guard your going and coming from now and for evermore.","Psalm 121:1-3, 8","[""fear"", ""hope""]","[""moving_or_relocation""]","[""I'm moving to a new place and feeling anxious about it."", ""I don't know what to expect in this next chapter."", ""I need reassurance that I'll be looked after wherever I go.""]","Levanto mis ojos a las montañas; ¿de dónde vendrá mi ayuda? Mi ayuda viene de Yahvé, el creador del cielo y de la tierra. Él no permitirá que tu pie resbale; tu protector jamás se dormirá. Yahvé cuidará tus salidas y tus entradas, desde ahora y para siempre."
"Though the fig tree bears no fruit, and there are no grapes on the vines, though the olive harvest fails, and the fields produce no food, though the flock is cut off from the fold, and there is no herd in the stalls, yet I will exult in the Lord, and rejoice in the God who saves me. The Lord God is my strength; he makes my feet as sure as the feet of deer, and causes me to walk on the heights!","Habakkuk 3:17-19","[""joy"", ""faith"", ""hope""]","[""financial_hardship"", ""job_loss""]","[""I've lost so much and don't know how we'll get by."", ""Even though things look bleak financially, I want to trust God."", ""I'm trying to find joy despite having so little right now.""]","Aunque la higuera no florezca, ni haya uvas en las vides; aunque se pierda la cosecha de aceitunas y los campos no den alimento; aunque no haya ovejas en el redil ni vacas en los establos; aun así, yo me alegraré en Yahvé, y me llenaré de gozo en el Dios de mi salvación. ¡Yahvé el Señor es mi fuerza! Él me da pies ligeros como de venado, y me hace caminar por las alturas."
"Come and see what the Lord has done, working appallingly in the earth. He stills wars to the ends of the earth. “Refrain; and know surely that I am God, high over the nations, high over the world.” On our side is the Lord of Hosts, our sure defence is the God of Jacob.","Psalm 46:8-11","[""overwhelm"", ""peace""]","[]","[""Everything around me feels chaotic and out of control."", ""I need to find peace amid all this turmoil."", ""I want to trust that God is still in control.""]","Vengan y vean las obras de Yahvé, las cosas asombrosas que ha hecho en la tierra. Él hace cesar las guerras hasta los confines de la tierra; quiebra el arco, destroza la lanza, y quema los carros de guerra en el fuego. “Quédense quietos, y reconozcan que yo soy Dios. Seré exaltado entre las naciones; seré exaltado en la tierra”. Yahvé de los Ejércitos está con nosotros; nuestro refugio es el Dios de Jacob. Selah."
"I cried out of my distress, to the Lord and he answered me; out of the midst of Sheol I cried aloud, and you heard my voice. As my life slipped away, I remembered the Lord; and my prayer reached you, in your holy temple.","Jonah 2:2, 7","[""despair"", ""relief""]","[]","[""I feel like I'm drowning in my problems."", ""I cried out to God when everything felt hopeless."", ""I don't know if anyone hears me when I pray.""]","En mi angustia invoqué a Yahvé, y él me respondió. Desde lo profundo del sepulcro grité, y tú escuchaste mi voz. Cuando me quedaba sin fuerzas, me acordé de Yahvé; mi oración llegó a ti, a tu santo templo."
"Who is a God like you, forgiving iniquity and passing by the rebellion of the remnant of your people? He does not retain his anger forever, but is one who delights in mercy. He will tread under foot our iniquity; you will cast into the depths of the sea all our iniquities.","Micah 7:18-19","[""guilt"", ""shame"", ""relief""]","[]","[""I can't forgive myself for what I've done."", ""I feel like my mistakes define me."", ""I need to believe I can be forgiven.""]","¿Qué Dios hay como tú, que perdona la maldad y pasa por alto el pecado del resto de su pueblo? Tú no guardas tu enojo para siempre, porque te deleitas en mostrar amor fiel. Tú volverás a tener compasión de nosotros; pondrás fin a nuestras maldades. ¡Tú arrojarás todos nuestros pecados a lo profundo del mar!"
"The Lord your God is in your midst, a victorious hero. He will rejoice over you with joy, he will renew his love, he will exult over you with singing.","Zephaniah 3:17","[""love"", ""peace"", ""joy""]","[]","[""I don't feel like anyone delights in me."", ""I need to know that I'm loved just as I am."", ""I want to feel God's presence and comfort.""]","Yahvé, tu Dios, está en medio de ti: ¡un poderoso que salvará! Se alegrará por ti con gran gozo, te renovará con su amor, se regocijará sobre ti con cánticos."
"May the Lord, from whom all peace comes, himself give you his peace at all times and in all ways.","2 Thessalonians 3:16","[""peace"", ""anxiety""]","[]","[""I can't seem to find any peace lately."", ""My mind is constantly racing with worry."", ""I need calm in the middle of all this chaos.""]","Y que el mismo Señor de paz les dé siempre paz en toda circunstancia. El Señor sea con todos ustedes."
"We don’t want you to be ignorant, friends, about those who have passed to their rest. We don’t want you to grieve like other people who have no hope. For, as we believe that Jesus died and rose again, so also we believe that God will bring, with Jesus, those who through him have passed to their rest.","1 Thessalonians 4:13-14","[""grief"", ""hope""]","[""bereavement""]","[""I lost someone I love and I don't know how to grieve with hope."", ""I'm struggling with the fact that they're gone."", ""I want to believe I'll see them again.""]","Pero no queremos que ignoren, hermanos, acerca de los que han dormido, para que no se entristezcan como los demás, que no tienen esperanza. Porque si creemos que Jesús murió y resucitó, también Dios traerá consigo a los que durmieron en Jesús."
"When the kindness of God our Savior and his love for humanity appeared, he saved us, not as the result of any righteous actions that we had done, but due to his mercy. He saved us through the washing of rebirth and renewal by the power of the Holy Spirit.","Titus 3:4-5","[""shame"", ""guilt"", ""relief""]","[]","[""I don't feel like I deserve God's love."", ""I keep thinking I have to earn my way to being good enough."", ""I feel unworthy of grace.""]","Pero cuando se manifestó la bondad de Dios nuestro Salvador, y su amor por la humanidad, él nos salvó, no por nuestras propias obras de justicia, sino por su misericordia. Nos salvó mediante el lavamiento de la regeneración y de la renovación por el Espíritu Santo,"
"His divine power has given us everything that is needful for a life of piety, as we advance in the knowledge of him who called us by a glorious manifestation of his goodness.","2 Peter 1:3","[""insecurity"", ""overwhelm"", ""hope""]","[]","[""I don't feel equipped to handle what's ahead."", ""I worry I don't have what it takes."", ""I need to believe I have everything I need to get through this.""]","Su divino poder nos ha concedido todas las cosas que necesitamos para vivir con devoción a Dios, mediante el conocimiento de aquel que nos llamó por su propia gloria y excelencia."
"To him who is able to guard you from falling, and to bring you into his glorious presence, blameless and rejoicing – to the one God, our Savior, be ascribed, through Jesus Christ, our Lord, glory, majesty, power, and dominion, as it was before time began, is now, and will be for all time to come. Amen.","Jude 1:24-25","[""doubt"", ""insecurity"", ""joy""]","[]","[""I'm afraid I'll mess everything up."", ""I don't trust myself to stay on the right path."", ""I need reassurance that I won't fall apart.""]","Ahora bien, a aquel que es capaz de evitarles el tropiezo y de presentarlos impecables ante la presencia de su gloria con gran alegría, a Dios nuestro Salvador, que es el único sabio, sea la gloria y la majestad, el dominio y el poder, ahora y siempre. Amén."
"But Jesus, overhearing what they were saying, said to the synagogue leader, “Do not be afraid; only have faith.”","Mark 5:36","[""fear"", ""doubt""]","[""terminal_illness"", ""personal_illness""]","[""I'm terrified my loved one won't make it."", ""I don't know if I can keep believing things will be okay."", ""I'm scared of losing someone to this illness.""]","Pero Jesús, al oír el mensaje pronunciado, dijo inmediatamente al jefe de la sinagoga: “No tengas miedo, solamente cree”."
"Then he led them out, and said, “What must I do to be saved?” “Believe in Jesus, our Lord,” they replied, “and you will be saved, you and your household too.”","Acts 16:30-31","[""uncertainty"", ""hope""]","[""new_to_faith""]","[""I don't know what I need to do to be saved."", ""I'm just starting to explore faith and feel lost."", ""I want my whole family to know God too.""]","Luego los sacó y les preguntó: “Señores, ¿qué debo hacer para ser salvo?”. Ellos le contestaron: “Cree en el Señor Jesucristo, y serás salvo, tú y toda tu familia”."
"No one will be able to hold their own against you all the days of your life. As I was with Moses, so I will be with you. I will never fail you nor forsake you. Be strong, be brave.","Joshua 1:5-6","[""fear"", ""courage""]","[""career_uncertainty"", ""moving_or_relocation""]","[""I'm about to start something new and I'm scared."", ""I need courage to face this next step."", ""I don't feel ready for this challenge.""]","Nadie te podrá hacer frente en todos los días de tu vida. Como estuve con Moisés, estaré contigo; no te dejaré ni te desampararé. Esfuérzate y sé valiente, porque tú repartirás a este pueblo como herencia la tierra que juré a sus antepasados que les daría."
"Joseph said to them, “Do not be afraid; for am I in the place of God? You plotted mischief against me, but God intended it for good, in order to accomplish what is now being done, the saving of the lives of many people. Now therefore do not be afraid; I will provide for you and your little ones.” He said this kindly, comforting them.","Genesis 50:19-21","[""bitterness"", ""regret"", ""relief""]","[""betrayal"", ""estrangement""]","[""Someone I trusted hurt me deeply and I don't know how to forgive them."", ""I've been holding onto resentment for what they did to me."", ""I want to let go of the pain from being betrayed.""]","Pero José les respondió: “No tengan miedo. ¿Acaso estoy yo en el lugar de Dios? Es verdad que ustedes pensaron hacerme mal, pero Dios lo cambió en bien para que se cumpliera lo que hoy estamos viendo: salvar la vida de mucha gente. Así que no tengan miedo. Yo los sustentaré a ustedes y a sus hijos”."
"Blessed is the God and Father of our Lord Jesus Christ, who has, in his great mercy, through the resurrection of Jesus Christ from the dead, given us the new life of undying hope, that promises an inheritance, imperishable, stainless, unfading, which has been reserved for you in heaven – for you who, through faith, are being guarded by the power of God, awaiting a salvation that is ready to be revealed in the last days.","1 Peter 1:3-5","[""uncertainty"",""hope"", ""joy""]","[""terminal_illness""]","[""I need something to hold onto that won't fade away."", ""I'm searching for hope that lasts beyond this life."", ""I want to trust there's something greater waiting for me.""]","Bendito sea el Dios y Padre de nuestro Señor Jesucristo, que según su gran misericordia nos hizo nacer de nuevo a una esperanza viva por la resurrección de Jesucristo de entre los muertos, a una herencia incorruptible, incontaminada y que no se marchita, reservada en el Cielo para ustedes, que por el poder de Dios son guardados por la fe para una salvación que está preparada para ser revelada en el último tiempo."
"Always be joyful; never cease to pray; under all circumstances give thanks to God. For this is his will for you as made known in Christ Jesus.","1 Thessalonians 5:16-18","[""joy"", ""gratitude""]","[]","[""I want to find reasons to be thankful even when things are hard."", ""I'm trying to stay joyful despite my circumstances."", ""I need to remember to give thanks in all things.""]","Alégrense siempre. Oren sin cesar. Den gracias en todo, porque esta es la voluntad de Dios para con ustedes en Cristo Jesús."
"Let us also exult in our troubles; for we know that trouble develops endurance, and endurance strength of character, and strength of character hope, and that hope never disappoints. For the love of God has filled our hearts through the Holy Spirit which was given us.","Romans 5:3-5","[""discouragement"", ""hope""]","[]","[""I don't know how much more I can endure."", ""I'm trying to see the purpose in my suffering."", ""I want to believe this hardship will make me stronger.""]","No sólo esto, sino que también nos alegramos de nuestros sufrimientos, sabiendo que el sufrimiento produce perseverancia; y la perseverancia, carácter probado; y el carácter probado, esperanza; y la esperanza no nos defrauda, porque el amor de Dios ha sido derramado en nuestros corazones por medio del Espíritu Santo que nos fue dado."
